"Brooklyn Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011. ",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,165, ,B1, 8886 19TH AVENUE                          ,            ,11214,2,0,2,"1,547","1,320",1940, 1 , B1 ,$0,2/3/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,172, ,B3, 8902 19TH   AVENUE                        ,            ,11214,2,0,2,"2,127","1,610",1940, 1 , B3 ,"$580,000",8/22/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,184, ,B9, 1361 SHORE PARKWAY                        ,            ,11214,2,0,2,"2,142","1,720",1940, 1 , B9 ,"$600,000",3/3/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,21, ,B9, 282 BAY 22ND STREET                       ,            ,11215,2,0,2,"2,068","1,652",1940, 1 , B9 ,$0,3/23/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,21, ,B9, 282 BAY 22ND STREET                       ,            ,11215,2,0,2,"2,068","1,652",1940, 1 , B9 ,"$600,000",3/23/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,23, ,B9, 1932 20 DRIVE                             ,            ,11214,2,0,2,"2,634","1,652",1940, 1 , B9 ,$0,10/19/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,26, ,B9, 1940 20TH DRIVE                           ,            ,11214,2,0,2,"2,376","1,888",1940, 1 , B9 ,"$653,000",4/18/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,63, ,B1, 1923 19TH   LANE                          ,            ,11214,2,0,2,"1,520","1,760",1940, 1 , B1 ,"$523,000",6/9/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,81, ,B3, 8871 19TH AVENUE                          ,            ,11214,2,0,2,"1,547","1,584",1940, 1 , B3 ,"$490,000",6/22/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,85, ,B1, 8863 19TH AVE                             ,            ,11214,2,0,2,"1,547","1,584",1940, 1 , B1 ,"$510,000",3/4/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6466,53, ,B9, 1953 20 DRIVE                             ,            ,11214,2,0,2,"1,978","1,673",1945, 1 , B9 ,"$570,000",4/8/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6468,12, ,B9, 8906 20TH AVE                             ,            ,11214,2,0,2,"1,980","1,993",1945, 1 , B9 ,$0,3/8/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6468,14, ,B9, 8910 20TH   AVENUE                        ,            ,11214,2,0,2,"1,980","1,993",1945, 1 , B9 ,"$550,000",3/15/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6468,40, ,B9, 1415 SHORE PARKWAY                        ,            ,11214,2,0,2,"2,090","1,993",1945, 1 , B9 ,"$499,000",6/21/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6480,1, ,B1, 8942 15TH   AVENUE                        ,            ,11228,2,0,2,"1,933","2,280",1950, 1 , B1 ,$0,9/1/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6480,38, ,B9, 8976 15TH AVENUE                          ,            ,11228,2,0,2,"1,740","2,052",1950, 1 , B9 ,$10,8/11/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6485,82, ,B1, 1117 SHORE PARKWAY                        ,            ,11228,2,0,2,"2,063",200,1899, 1 , B1 ,$0,7/25/2011
